Vset,Current_mA,Output_Voltage,V_2wire,V_4wire,V_4wire_high,V_4wire_low,VIA,R_2wire,R_4wire
0.0,0.47978698796475394,0.0129015,1.06179,1.0526786000000001,1.0637,0.0110214,0.0169189,2213.0445940272166,2194.0540831785374
0.026087115312875817,0.4947146647324307,0.0131163,1.33692,1.3528675,1.36405,0.0111825,0.0174453,2702.406246079406,2734.6419996094237
0.05217423062575163,0.5285259660434128,0.0128155,1.62114,1.6532267,1.66442,0.0111933,0.0186376,3067.2854394193387,3127.9952286472994
0.07826134593862745,0.5510649430474962,0.0129122,1.94401,2.0090706000000003,2.02028,0.0112094,0.0194324,3527.7330277067654,3645.796426260487
0.10434846125150327,0.5807671631205674,0.0125308,2.61813,2.6771684000000002,2.69145,0.0142816,0.0204798,4508.054460125314,4609.710345218363
0.1304355765643791,3.010745658714808,0.0136211,2.77299,2.7468692,2.76403,0.0171608,0.106169,921.0309718369574,912.3551144378471
0.1565226918772549,3.9319568665377176,0.0139057,2.80863,2.7783079,2.79759,0.0192821,0.138654,714.3084462351026,706.5967390548813
0.1826098071901307,4.502974532559638,0.0139648,2.82809,2.7947415,2.81542,0.0206785,0.15879,628.0492993133631,620.6434168774606
0.20869692250300653,5.291640221362562,0.014142,2.85302,2.8179211,2.83969,0.0217689,0.186601,539.156080279654,532.523184139379
0.23478403781588236,5.879133913604127,0.0143568,2.87199,2.8341868,2.85797,0.0237832,0.207318,488.5056272241575,482.07556447077735
0.2608711531287582,6.751087191059532,0.0145878,2.8974,2.853497,2.87945,0.025953,0.238066,429.175319174818,422.672218450813
0.28695826844163397,7.507226198151731,0.0147865,2.91935,2.8736334,2.90109,0.0274566,0.26473,388.87199119146567,382.78231188870865
0.3130453837545098,8.016111379754998,0.0150658,2.93207,2.8846812999999996,2.91347,0.0287887,0.282675,365.7721133223095,359.860431491181
0.33913249906738563,8.852758886739739,0.0152538,2.95341,2.9021277999999997,2.93328,0.0311522,0.312178,333.61464350100135,327.8218504682199
0.3652196143802614,9.748192628411779,0.0158018,2.97484,2.9178714,2.95143,0.0335586,0.343754,305.16836437245036,299.32434772530684
0.39130672969313723,10.296523855577048,0.0163389,2.98766,2.929005,2.96338,0.034375,0.36309,290.16200437216025,284.4654216397044
0.41739384500601306,11.123416193853428,0.016817,3.0056,2.9421705,2.97922,0.0370495,0.392249,270.20475972667754,264.5024198254654
0.4434809603188889,11.697326380829573,0.0172091,3.01798,2.9510945,2.98997,0.0388755,0.412487,258.0059666408971,252.28795058984315
0.4695680756317647,12.601324253169999,0.0175422,3.03575,2.966423,3.00676,0.040337,0.444365,240.90722046425591,235.4056558185751
0.4956551909446405,13.441318009886096,0.017655,3.05166,2.9780499000000002,3.02096,0.0429101,0.473986,227.03577117627174,221.55936626227003
0.5217423062575164,13.938179378895336,0.0178859,3.06096,2.9851156000000003,3.02903,0.0439144,0.491507,219.60974362511,214.16825819589818
0.5478294215703922,14.825134064044704,0.0183799,3.07788,2.9976836,3.04403,0.0463464,0.522784,207.61228780148176,202.20279877739935
0.5739165368832679,15.348765430904793,0.0186967,3.08772,3.0054672,3.05263,0.0471628,0.541249,201.17057713207768,195.8116575257891
0.6000036521961438,16.190999473457985,0.0194486,3.10425,3.016588,3.06634,0.049752,0.570949,191.726891541737,186.3126488852719
0.6260907675090196,17.048972232967976,0.0198406,3.11978,3.0271189,3.07946,0.0523411,0.601204,182.98932964224153,177.55433340118842
0.6521778828218954,17.6231943584784,0.0202327,3.12916,3.034796,3.08776,0.052964,0.621453,177.55918344591043,172.20464907033042
0.6782649981347713,18.511425155813455,0.0205174,3.14387,3.0456312999999997,3.10105,0.0554187,0.652775,169.83403349756017,164.527110925521
0.704352113447647,18.99399406834301,0.0205389,3.1518,3.0523154000000003,3.10883,0.0565146,0.669792,165.9366633820875,160.69897616148288
0.7304392287605228,19.820772974425104,0.0207269,3.16547,3.0615613,3.12081,0.0592487,0.698947,159.70466964554967,154.46225553112163
0.7565263440733987,20.66751594670105,0.0209579,3.17936,3.0697111,3.12976,0.0600489,0.728806,153.83367832879256,148.52830441338003
0.7826134593862745,20.98974845261122,0.0209095,3.18222,3.0734917000000004,3.13513,0.0616383,0.740169,151.60829617298808,146.4282293300968
0.8087005746991504,21.781987255534066,0.02135,3.19515,3.081646,3.14604,0.064394,0.768106,146.68771781547252,141.47680667736404
0.8347876900120261,22.212972877713305,0.0214413,3.20249,3.0864679,3.15207,0.0656021,0.783304,144.17205736622128,138.9488888764057
0.8608748053249019,23.080956028368792,0.0218924,3.21526,3.0954553,3.16247,0.0670147,0.813912,139.30358846696492,134.11295858782353
0.8869619206377778,23.87690973565442,0.0225048,3.22698,3.1037079,3.17286,0.0691521,0.84198,135.1506554125504,129.9878390613237
0.9130490359506536,24.444127423167853,0.0229452,3.23423,3.1087682,3.17971,0.0709418,0.861982,132.3111250407996,127.1785302940921
0.9391361512635295,25.223179733505265,0.0233535,3.24657,3.1166838,3.18914,0.0724562,0.889454,128.71374800090774,123.56427036278643
0.9652232665764052,26.053872050290135,0.0237402,3.25811,3.1249099,3.19989,0.0749801,0.918747,125.05281340566488,119.9403257208059
0.991310381889281,26.47592488716957,0.0239444,3.26411,3.128949,3.20474,0.075791,0.93363,123.28596692695001,118.18091391837692
1.0173974972021569,27.228916150870408,0.0241001,3.27437,3.1354591999999997,3.21391,0.0784508,0.960183,120.25340934825752,115.15181811229643
