Vset,Current_mA,Output_Voltage,V_2wire,V_4wire,V_4wire_high,V_4wire_low,VIA,R_2wire,R_4wire,Illumination_mA,Iph_A,P_opt_W,P_opt_uW
0.0,0.4947203363421448,0.271088,1.44914,1.4365301,1.44753,0.0109999,0.0174455,2929.2104923655006,2903.7215462404333,1.13223,1.015310861423221e-05,2.417406812912431e-05,24.17406812912431
0.0304349678650217,0.5038572995916614,0.271147,1.4501,1.4373512,1.44848,0.0111288,0.0177677,2877.997403580731,2852.69500147138,1.144653553882502,1.0155318352059926e-05,2.417932940966649e-05,24.17932940966649
0.0608699357300435,0.5155833526756931,0.27097,1.45116,1.4451195,1.4562,0.0110805,0.0181812,2814.5982457909063,2802.8823904036985,1.24512141319121,1.014868913857678e-05,2.4163545568039955e-05,24.163545568039954
0.0913049035950653,0.5880807038469805,0.289174,1.90157,1.8834038,1.89862,0.0152162,0.0207377,3233.518779923769,3202.628121751916,1.5040621197868156,1.0830486891385768e-05,2.5786873550918497e-05,25.786873550918497
0.1217398714600871,3.5054518160326675,0.301036,1.92977,1.9033528,1.92104,0.0176872,0.123614,550.5053560211356,542.969323182465,3.1936211556592053,1.1274756554307118e-05,2.6844658462635995e-05,26.844658462635994
0.1521748393251089,4.427258542875565,0.304442,1.95291,1.9221536,1.94244,0.0202864,0.15612,441.1104481672214,434.16339510895943,5.357064357400436,1.1402322097378277e-05,2.7148385946138755e-05,27.148385946138756
0.1826098071901307,5.2855432409198375,0.307294,1.97491,1.9407406,1.9623,0.0215594,0.186386,373.6437126671409,367.1790223898074,6.243093228880523,1.1509138576779029e-05,2.7402710897092925e-05,27.402710897092923
0.2130447750551525,6.122105673758866,0.30993,1.99348,1.955306,1.97939,0.024084,0.215886,325.6199919162843,319.3845556082139,7.129101228720522,1.1607865168539325e-05,2.7637774210807917e-05,27.637774210807915
0.2434797429201743,6.999418622394154,0.311177,2.01341,1.9709793,1.99748,0.0265007,0.246823,287.6538907900485,281.5918587429516,8.015081404252024,1.1654569288389511e-05,2.7748974496165504e-05,27.748974496165506
0.2739147107851961,7.865274919406834,0.313704,2.0328,1.98664,2.01458,0.02794,0.277356,258.4525043090681,252.58366940208927,8.931916339638589,1.1749213483146068e-05,2.797431781701445e-05,27.974317817014448
0.3043496786502179,8.714343251665593,0.314968,2.05103,2.0008208,2.03128,0.0304592,0.307297,235.36254434411703,229.60087091102116,9.850911482617722,1.1796554307116106e-05,2.8087034064562156e-05,28.087034064562157
0.3347846465152397,9.56755185901569,0.31663,2.0709,2.0143443000000003,2.04721,0.0328657,0.337384,216.45035537994505,210.53915669156729,10.732411630879492,1.1858801498127342e-05,2.823524166220796e-05,28.235241662207958
0.3652196143802615,10.714946862239415,0.317529,2.09504,2.0358518,2.07107,0.0352182,0.377845,195.52500137757457,190.0011102411112,11.63872888234972,1.189247191011236e-05,2.8315409309791334e-05,28.315409309791335
0.3956545822452832,11.55896746185257,0.318937,2.11268,2.0488583,2.08681,0.0379517,0.407608,182.77411083406565,177.2527093584903,12.569856289212192,1.1945205992509364e-05,2.844096664883182e-05,28.440966648831818
0.4260895501103051,12.42873716956802,0.3209,2.1297,2.0618312,2.10169,0.0398588,0.438279,171.35288734036536,165.89225211459373,13.465084475122897,1.20187265917603e-05,2.8616015694667383e-05,28.616015694667382
0.4565245179753268,13.28066966473243,0.322395,2.14658,2.0755177,2.11716,0.0416423,0.468321,161.63190969958126,156.28110271514808,14.349700958440618,1.2074719101123594e-05,2.8749331193151417e-05,28.749331193151416
0.4869594858403486,14.1364304964539,0.323332,2.16513,2.0888837,2.13268,0.0437963,0.498498,153.15959715170808,147.76599372267228,15.217341022336658,1.2109812734082398e-05,2.883288746210095e-05,28.83288746210095
0.5173944537053704,15.00716437782076,0.323784,2.18223,2.1012928,2.14765,0.0463572,0.529203,145.41254730474864,140.01930991743663,16.08877307714047,1.2126741573033709e-05,2.8873194221508833e-05,28.873194221508832
0.5478294215703923,15.885299709864606,0.324314,2.19995,2.115096,2.16307,0.047974,0.560169,138.48967537161755,133.1480071909847,16.963047964031087,1.2146591760299625e-05,2.8920456572141965e-05,28.920456572141966
0.578264389435414,16.70856221792392,0.325654,2.21694,2.1285972,2.17865,0.0500528,0.5892,132.68287067942944,127.39559348299711,17.857334038641977,1.2196779026217227e-05,2.903995006242197e-05,29.03995006242197
0.6086993573004358,17.610972039544382,0.326748,2.23415,2.1417489,2.19438,0.0526311,0.621022,126.86125416492344,121.61446257428786,18.75428779923008,1.2237752808988764e-05,2.913750668806849e-05,29.137506688068488
0.6391343251654577,18.443961358263486,0.327151,2.25011,2.1544373,2.20847,0.0540327,0.650396,121.99711094015484,116.80990098337756,19.654067189191583,1.2252846441947566e-05,2.917344390939897e-05,29.17344390939897
0.6695692930304794,19.304316193853428,0.32801,2.26911,2.1670121,2.22343,0.0564179,0.680735,117.54417909516494,112.25531524861708,20.5647662446641,1.228501872659176e-05,2.925004458712324e-05,29.250044587123238
0.7000042608955012,20.13242792821836,0.328967,2.2853,2.1787211,2.23783,0.0591089,0.709937,113.51338289391508,108.21949085168332,21.481530536794573,1.2320861423220974e-05,2.933538434100232e-05,29.335384341002317
0.730439228760523,21.04016906297013,0.329715,2.30199,2.1921919,2.25281,0.0606181,0.741947,109.40929196483556,104.19079302257944,22.413936212307384,1.234887640449438e-05,2.940208667736757e-05,29.40208667736757
0.7608741966255448,21.896383623468733,0.330097,2.31866,2.2051745,2.26858,0.0634055,0.77214,105.89237199492796,100.70952984384483,23.335837413879915,1.236318352059925e-05,2.9436151239522026e-05,29.436151239522026
0.7913091644905665,22.711308865248228,0.330403,2.33438,2.2178611,2.28349,0.0656289,0.800877,102.78491714636306,97.65448187768986,24.23884291043511,1.2374644194756556e-05,2.9463438558944184e-05,29.463438558944183
0.8217441323555883,23.661190060176235,0.330839,2.35037,2.2304795,2.29787,0.0673905,0.834373,99.33439501658329,94.26742671553464,25.092706667866675,1.2390973782771536e-05,2.950231853040842e-05,29.50231853040842
0.8521791002206102,24.449940823124862,0.331107,2.36561,2.2420998,2.31151,0.0694102,0.862187,96.75319940907976,91.70164526040128,25.92853295480929,1.2401011235955056e-05,2.9526217228464422e-05,29.52621722846442
0.8826140680856319,25.26883619170428,0.332475,2.38238,2.2533979,2.32543,0.0720321,0.891064,94.2813504320445,89.1769562675699,26.785155560338193,1.2452247191011236e-05,2.96482075976458e-05,29.6482075976458
0.9130490359506536,26.13965514721685,0.333117,2.39893,2.2664555,2.34005,0.0735945,0.921772,91.77359022104083,86.70563889368353,27.66727598211467,1.247629213483146e-05,2.970545746388443e-05,29.70545746388443
0.9434840038156757,27.001172662798194,0.33347,2.41513,2.2787607000000003,2.35489,0.0761293,0.952152,89.44537447173653,84.39487900981582,28.58336851485184,1.2489513108614232e-05,2.973693597289103e-05,29.73693597289103
0.9739189716806972,27.85049621749409,0.333449,2.43123,2.2904204999999997,2.36907,0.0786495,0.982102,87.29575160936773,82.23984528366458,29.490228324520235,1.24887265917603e-05,2.9735063313714998e-05,29.735063313715
1.004353939545719,28.723867397378033,0.333997,2.44791,2.3040234,2.38459,0.0805666,1.0129,85.22215919376683,80.21285463148725,30.39176902259405,1.2509250936329589e-05,2.9783930800784735e-05,29.783930800784734
