Vset,Current_mA,Output_Voltage,V_2wire,V_4wire,V_4wire_high,V_4wire_low,VIA,R_2wire,R_4wire,P_W,P_uW
0.0,0.4208391124006018,0.0103339,0.264336,0.2510737,0.262122,0.0110483,0.0148402,628.1165229442253,596.6025794698472,2.583475e-07,0.2583475
0.0304349678650217,0.4407946711798839,0.010538,0.260614,0.2472018,0.258438,0.0112362,0.0155439,591.2367300230951,560.8094111898176,2.6345e-07,0.26345
0.0608699357300435,0.4765938716956802,0.0108656,0.762494,0.9122912,0.923463,0.0111718,0.0168063,1599.8820909868427,1914.1899511929223,2.7163999999999996e-07,0.27163999999999994
0.0913049035950653,0.5334007145927359,0.0350788,1.80533,1.866562,1.88137,0.014808,0.0188095,3384.5661443824883,3499.3616411353414,8.7697e-07,0.87697
0.1217398714600871,3.341258714807651,0.0119991,1.92858,1.902796,1.92022,0.017424,0.117824,577.2016370516295,569.4847847511082,2.999775e-07,0.2999775
0.1521748393251089,4.208873210831722,0.0112631,1.94977,1.9197395,1.93965,0.0199105,0.148419,463.2522535918118,456.1172085344518,2.815775e-07,0.2815775
0.1826098071901307,5.057828110896196,0.0117197,1.96921,1.9357232,1.95681,0.0210868,0.178356,389.3390516292329,382.7182651442477,2.929925e-07,0.2929925
0.2130447750551525,5.8393759295078445,0.0120957,1.98676,1.9496522,1.97314,0.0234878,0.205916,340.23498811926095,333.8802336989324,3.0239249999999996e-07,0.30239249999999995
0.2434797429201743,6.6850129378895335,0.0125631,2.0045,1.9632821,1.98887,0.0255879,0.235736,299.84983105101117,293.68411373932366,3.140775e-07,0.3140775
0.2739147107851961,7.525488781431335,0.0129176,2.02075,1.9766384,2.00395,0.0273116,0.265374,268.5207643902244,262.65913848376596,3.2294e-07,0.32294
0.3043496786502179,8.350112475822051,0.0131968,2.03659,1.9877323,2.01723,0.0294977,0.294453,243.8997086442841,238.048565903217,3.2992e-07,0.32992
0.3347846465152397,9.15715418009886,0.0136372,2.05125,1.9989306,2.03026,0.0313294,0.322912,224.0051832323582,218.29168327691295,3.4093e-07,0.34093
0.3652196143802615,10.246245035460992,0.013852,2.07226,2.0137336,2.04755,0.0338164,0.361317,202.24579763885825,196.53381243867543,3.4629999999999997e-07,0.3463
0.3956545822452832,11.044297238340857,0.0141152,2.08655,2.0232714,2.05951,0.0362386,0.389459,188.9255563275165,183.19602925717243,3.5287999999999997e-07,0.35287999999999997
0.4260895501103051,11.857889651837525,0.0141903,2.09917,2.033709,2.07223,0.038521,0.418149,177.0272840812537,171.50682454570253,3.5475749999999997e-07,0.35475749999999995
0.4565245179753268,12.660479142488718,0.0141903,2.11229,2.0439495,2.08405,0.0401005,0.446451,166.84123690952023,161.44329744523503,3.5475749999999997e-07,0.35475749999999995
0.4869594858403486,13.464968622394156,0.0144481,2.1254,2.0529836,2.09512,0.0421364,0.47482,157.8466359338675,152.4685023465704,3.612025e-07,0.3612025
0.5173944537053704,14.25403132387707,0.0145502,2.13737,2.0619773,2.10594,0.0439627,0.502645,149.94845678637387,144.65923731667135,3.63755e-07,0.363755
0.5478294215703923,15.089374360627552,0.0148832,2.15062,2.0707199,2.11712,0.0464001,0.532102,142.52545855125553,137.2303351027657,3.7208e-07,0.37207999999999997
0.578264389435414,15.902002600472812,0.014953,2.16324,2.0794419,2.12733,0.0478881,0.560758,136.03569653143438,130.76603948852153,3.73825e-07,0.37382499999999996
0.6086993573004358,16.716332323232326,0.01527,2.17638,2.0882384,2.13813,0.0498916,0.589474,130.194827305226,124.92204388026973,3.8175000000000004e-07,0.38175000000000003
0.6391343251654577,17.51764570169783,0.0157964,2.18817,2.0954622,2.1479,0.0524378,0.617731,124.91233338438396,119.62008112750594,3.9491e-07,0.39491
0.6695692930304794,18.368046862239417,0.0163497,2.20012,2.1045675,2.1578,0.0532325,0.647719,119.7797466709949,114.5776421295243,4.0874250000000006e-07,0.40874250000000006
0.7000042608955012,18.944565989684076,0.0166344,2.20928,2.110355,2.16608,0.055725,0.668049,116.6181374227852,111.39632341797412,4.1586e-07,0.41586
0.730439228760523,19.808692445733936,0.0170265,2.22144,2.1182843,2.17641,0.0581257,0.698521,112.14470647599036,106.93710883760026,4.256625e-07,0.4256625
0.7608741966255448,20.6685368364496,0.0174401,2.23331,2.1267686,2.18649,0.0597214,0.728842,108.0536091002576,102.89884653321846,4.360025e-07,0.4360025
0.7913091644905665,21.480796421663445,0.0174939,2.24499,2.1341491,2.19619,0.0620409,0.757485,104.51148811856535,99.35148856248668,4.373475e-07,0.4373475
0.8217441323555883,22.326490146142273,0.0176281,2.25638,2.1415513,2.20623,0.0646787,0.787307,101.06290712200786,95.919747617385,4.4070250000000004e-07,0.44070250000000005
0.8521791002206102,23.093887298517085,0.0179289,2.26861,2.1486284,2.21466,0.0660316,0.814368,98.23421976020784,93.03883630444358,4.4822250000000004e-07,0.4482225
0.8826140680856319,24.01376567805717,0.018294,2.28008,2.1551344,2.22383,0.0686956,0.846806,94.9488735156372,89.74579118048432,4.5735000000000006e-07,0.45735000000000003
0.9130490359506536,24.87372350096712,0.0186699,2.2914,2.1626788,2.23354,0.0708612,0.877131,92.12131026184753,86.94632309135031,4.667475e-07,0.4667475
0.9434840038156757,25.707960573823343,0.0192176,2.30234,2.1705806,2.24301,0.0724294,0.906549,89.55747358443966,84.43223622375373,4.8044e-07,0.48044000000000003
0.9739189716806972,26.597921212121214,0.0195399,2.31346,2.1773204,2.25251,0.0751896,0.937932,86.97897785131077,81.86054777122023,4.884975e-07,0.4884975
