Vset,Current_mA,Output_Voltage,V_2wire,V_4wire,V_4wire_high,V_4wire_low,VIA,R_2wire,R_4wire,Illumination_mA,Iph_A,P_opt_W,P_opt_uW
0.0,0.4971562927143778,0.273091,1.47426,1.4615636,1.47273,0.0111664,0.0175314,2965.385375996799,2939.8473305449756,1.13223,1.0228127340823967e-05,3.099432527522414e-05,30.994325275224142
0.0304349678650217,0.5050766956802063,0.273081,1.47493,1.4622666,1.47339,0.0111234,0.0178107,2920.2099653670516,2895.137733548979,1.144653553882502,1.0227752808988763e-05,3.099319033026898e-05,30.99319033026898
0.0608699357300435,0.5204581012250161,0.272709,1.47502,1.4624127,1.47352,0.0111073,0.0183531,2834.080200746623,2809.8567330547457,1.24512141319121,1.02138202247191e-05,3.095097037793666e-05,30.950970377936663
0.0913049035950653,0.5379691962174941,0.272457,1.77272,1.87684,1.89146,0.01462,0.0189706,3295.207258081208,3488.7499380935137,1.5040621197868156,1.020438202247191e-05,3.092236976506639e-05,30.922369765066392
0.1217398714600871,3.3932390178379546,0.275439,1.97884,1.9531023,1.97058,0.0174777,0.119657,583.1714151574395,575.5864204474591,3.1936211556592053,1.0316067415730336e-05,3.1260810350697984e-05,31.260810350697984
0.1521748393251089,4.338044122071782,0.276529,2.00805,1.9777293,1.99786,0.0201307,0.152974,462.8929405727176,455.9034542635006,5.357064357400436,1.035689138576779e-05,3.1384519350811485e-05,31.384519350811484
0.1826098071901307,5.19788851278745,0.277264,2.03363,1.9999086,2.02128,0.0213714,0.183295,391.2415579897526,384.7540390833657,6.243093228880523,1.0384419475655431e-05,3.146793780501646e-05,31.467937805016458
0.2130447750551525,6.0486866860090265,0.278006,2.05674,2.0188986,2.0428,0.0239014,0.213297,340.0308375630304,333.77470264244846,7.129101228720522,1.0412209737827716e-05,3.155215072069005e-05,31.55215072069005
0.2434797429201743,6.9290055877928225,0.278576,2.08282,2.0406666,2.06677,0.0261034,0.24434,300.59435998571115,294.51074532183156,8.015081404252024,1.0433558052434456e-05,3.1616842583134717e-05,31.616842583134716
0.2739147107851961,7.780569428325811,0.278995,2.10616,2.0606971,2.08839,0.0276929,0.274369,270.69484044861156,264.851707703791,8.931916339638589,1.0449250936329588e-05,3.166439677675633e-05,31.664396776756327
0.3043496786502179,8.640385460992908,0.280113,2.12872,2.0788858,2.1092,0.0303142,0.304689,246.36863825232385,240.60104834270965,9.850911482617722,1.0491123595505616e-05,3.179128362274429e-05,31.791283622744288
0.3347846465152397,9.509162637008382,0.281316,2.15012,2.0963763,2.12914,0.0327637,0.335325,226.11034031871765,220.45855981484485,10.732411630879492,1.05361797752809e-05,3.192781750085121e-05,31.92781750085121
0.3652196143802615,10.656075553406405,0.282193,2.18124,2.1206331,2.15576,0.0351269,0.375769,204.6944946165221,199.0069504830136,11.63872888234972,1.0569026217228465e-05,3.202735217341959e-05,32.02735217341959
0.3956545822452832,11.506646862239416,0.282854,2.20209,2.1374801000000003,2.17526,0.0377799,0.405763,191.37547422494123,185.7604674576765,12.569856289212192,1.059378277153558e-05,3.21023720349563e-05,32.1023720349563
0.4260895501103051,12.36257784225231,0.283895,2.22218,2.1538127,2.19365,0.0398373,0.435946,179.7505365268661,174.2203549682646,13.465084475122897,1.0632771535580523e-05,3.222051980478946e-05,32.22051980478946
0.4565245179753268,13.229908757790673,0.284618,2.24328,2.1714523999999997,2.2131,0.0416476,0.466531,169.56126010158638,164.1320767780277,14.349700958440618,1.0659850187265918e-05,3.2302576325048235e-05,32.302576325048236
0.4869594858403486,14.08127409198367,0.284976,2.26524,2.1880222000000003,2.23184,0.0438178,0.496553,160.8689657770087,155.38524324624998,15.217341022336658,1.0673258426966291e-05,3.2343207354443307e-05,32.34320735444331
0.5173944537053704,14.961479561573178,0.285282,2.28658,2.2037365999999996,2.25004,0.0463034,0.527592,152.83114150506978,147.2940287042226,16.08877307714047,1.0684719101123594e-05,3.2377936670071494e-05,32.37793667007149
0.5478294215703923,15.820785149366005,0.285933,2.30695,2.2221348,2.27027,0.0481352,0.557894,145.81766822694308,140.4566700717157,16.963047964031087,1.0709101123595504e-05,3.245182158665304e-05,32.45182158665304
0.578264389435414,16.663841575327744,0.286932,2.32662,2.2384744999999997,2.28835,0.0498755,0.587623,139.62086650204125,134.3312398813401,17.857334038641977,1.0746516853932585e-05,3.25652025876745e-05,32.5652025876745
0.6086993573004358,17.5632454437997,0.287753,2.3466,2.2544837,2.30719,0.0527063,0.619339,133.6085638334237,128.36373022366965,18.75428779923008,1.0777265917602996e-05,3.265838156849393e-05,32.65838156849393
0.6391343251654577,18.393795970341714,0.288167,2.36554,2.2701992,2.32435,0.0541508,0.648627,128.60531908770835,123.422006184068,19.654067189191583,1.0792771535580523e-05,3.270536828963795e-05,32.705368289637946
0.6695692930304794,19.25755377176016,0.288602,2.3872,2.2863955,2.34298,0.0565845,0.679086,123.96174655893522,118.727203210661,20.5647662446641,1.0809063670411988e-05,3.275473839518784e-05,32.75473839518784
0.7000042608955012,20.088501310982167,0.289076,2.40593,2.3012447000000003,2.3603,0.0590553,0.708388,119.76652527506889,114.5553201991198,21.481530536794573,1.082681647940075e-05,3.2808534786062874e-05,32.80853478606287
0.730439228760523,20.98311266924565,0.289921,2.42624,2.3183882,2.37906,0.0606718,0.739935,115.62822152482984,110.48828820320806,22.413936212307384,1.0858464419475657e-05,3.2904437634774714e-05,32.904437634774716
0.7608741966255448,21.846700322372666,0.290815,2.44601,2.333911,2.39751,0.063599,0.770388,111.9624457655558,106.83128186685016,23.335837413879915,1.089194756554307e-05,3.300590171376688e-05,33.00590171376688
0.7913091644905665,22.673479228454763,0.291191,2.46517,2.3489996,2.41465,0.0656504,0.799543,108.72482229839083,103.60119751943726,24.23884291043511,1.0906029962546816e-05,3.304857564408126e-05,33.048575644081254
0.8217441323555883,23.61391719320868,0.291449,2.48763,2.3649437,2.43278,0.0678363,0.832706,105.34592713467453,100.150418952098,25.092706667866675,1.0915692883895133e-05,3.3077857223924645e-05,33.077857223924646
0.8521791002206102,24.396457543520313,0.291697,2.50534,2.3790680999999996,2.44872,0.0696519,0.860301,102.69277806135494,97.51694875192564,25.92853295480929,1.0924981273408238e-05,3.3106003858812844e-05,33.10600385881284
0.8826140680856319,25.227972243713733,0.292227,2.52426,2.3936815,2.46588,0.0721985,0.889623,100.05798229102582,94.88204112783792,26.785155560338193,1.0944831460674158e-05,3.316615594143684e-05,33.16615594143684
0.9130490359506536,26.09246735439502,0.293551,2.54382,2.4121942,2.48617,0.0739758,0.920108,97.49250484628924,92.44791484212358,27.66727598211467,1.099441947565543e-05,3.33164226535013e-05,33.3164226535013
