Vset,Current_mA,Output_Voltage,V_2wire,VIA,R_2wire
0.11590604398505584,0.6244896024070492,0.0124396,2.67284,0.0220216,4280.039234757048
0.12878449331672873,2.5613216333548254,0.0134064,2.75228,0.0903208,1074.5546221756838
0.1416629426484016,3.1559672254459494,0.0137072,2.76873,0.11129,877.2999851444175
0.15454139198007447,3.5477053084031804,0.0137179,2.78055,0.125104,783.7601374087983
0.16741984131174734,4.092690285837095,0.0139757,2.80063,0.144322,684.3004978147707
0.1802982906434202,4.388464732430689,0.0137824,2.80978,0.154752,640.2649152528828
0.19317673997509308,4.671194476681712,0.0140616,2.81948,0.164722,603.588656835988
0.20605518930676595,5.147042531699978,0.0140724,2.8347,0.181502,550.7434575373031
0.21893363863843882,5.3593025252525255,0.0141476,2.8406,0.188987,530.0316574060453
0.23181208797011169,5.637183043197937,0.0138898,2.84855,0.198786,505.3144413036544
0.24469053730178456,5.969199075865034,0.0142013,2.85658,0.210494,478.5533140534495
0.25756898663345745,6.4931423812594025,0.0142657,2.87311,0.22897,442.4837515179722
0.2704474359651303,6.806640608209757,0.0143302,2.87989,0.240025,423.100052693608
0.2833258852968032,7.055227261981518,0.0144805,2.88765,0.248791,409.29227263318234
0.29620433462847606,7.595930174081238,0.0146202,2.90209,0.267858,382.0585410200958
0.30908278396014893,7.8478347195357845,0.0144913,2.90692,0.276741,370.41045127565457
0.3219612332918218,8.17043588007737,0.0145772,2.91338,0.288117,356.57583545866
0.33483968262349467,8.46045364281109,0.0148243,2.92064,0.298344,345.2108034988986
0.34771813195516754,8.94787178164625,0.0150499,2.93392,0.315532,327.89025944895815
0.3605965812868404,9.275690823124867,0.0151358,2.93898,0.327092,316.84755950176157
0.3734750306185133,9.471531506554912,0.0153184,2.94577,0.333998,311.01306034418366
0.38635347995018615,10.071984826993338,0.0156192,2.95596,0.355172,293.4833650739728
0.399231929281859,10.401250128949066,0.0160059,2.96509,0.366783,285.07054087157024
0.4121103786135319,10.645866655920912,0.0158663,2.96909,0.375409,278.89603504931006
0.42498882794520476,10.9288232645605,0.0163927,2.97444,0.385387,272.16470867869015
0.43786727727687763,11.51895425531915,0.0166183,2.98458,0.406197,259.1016453270313
0.4507457266085505,11.80372577906727,0.0167901,2.99165,0.416239,253.4496358179883
