Vset,Current_mA,Output_Voltage,V_4wire,V_4wire_high,V_4wire_low,R_4wire
0.0,0.4970542037395229,0.0131611,1.2451351,1.25624,0.0111049,2505.028808995855
0.012878449331672872,0.5009846292714378,0.0131901,1.1717745,1.18306,0.0112855,2338.9430164834907
0.025756898663345743,0.5068292230818827,0.0131901,1.2708945,1.28208,0.0111855,2507.539901255212
0.03863534799501862,0.5247458381689233,0.0132352,1.5693644999999998,1.58055,0.0111855,2990.7135718812474
0.051513797326691486,0.540368287126585,0.0132546,1.901686,1.91282,0.011134,3519.2405722257286
0.06439224665836436,0.559379522888459,0.0132159,2.2857007,2.29697,0.0112693,4086.135810258774
0.07727069599003723,0.6173206877283474,0.0123393,2.6453688,2.65707,0.0117012,4285.242423568506
0.0901491453217101,1.6037554072641307,0.0127712,2.675735,2.68752,0.011785,1668.418380932897
0.10302759465338297,1.8880363367719752,0.0128872,2.6941387,2.70613,0.0119913,1426.952780265998
0.11590604398505584,2.3985464345583494,0.0131676,2.7178258,2.73012,0.0122942,1133.113689541908
0.12878449331672873,2.633770775843542,0.0131901,2.7247165,2.73703,0.0123135,1034.5306148092293
0.1416629426484016,2.850352535998281,0.0134157,2.7378495999999997,2.75045,0.0126004,960.5301679082025
0.15454139198007447,3.2560711369009243,0.0135833,2.7490216000000003,2.76168,0.0126584,844.2756575080465
0.16741984131174734,3.6577345368579413,0.0137895,2.7655088,2.77828,0.0127712,756.0714896427725
0.1802982906434202,3.8456916827853003,0.0137541,2.7717754,2.78464,0.0128646,720.7482108894648
0.19317673997509308,4.152951139050075,0.0139345,2.7811481,2.79419,0.0130419,669.6799473148016
0.20605518930676595,4.644311046636579,0.0140344,2.7988124,2.81198,0.0131676,602.6324188658524
0.21893363863843882,4.852430765097786,0.014086,2.8040412999999997,2.81737,0.0133287,577.8632268529632
0.23181208797011169,5.130084418654632,0.0141053,2.8128004,2.8262,0.0133996,548.2951488618307
0.24469053730178456,5.382726273372018,0.0141472,2.8188154,2.83236,0.0135446,523.6780131184616
0.25756898663345745,5.964831936385129,0.0143213,2.8328759999999997,2.84644,0.013564,474.92972647219455
0.2704474359651303,6.272828701912745,0.0143374,2.8402143,2.85392,0.0137057,452.78046555518824
0.2833258852968032,6.521500429830218,0.0143342,2.8464296,2.86029,0.0138604,436.46851374570934
0.29620433462847606,7.078225639372448,0.0145114,2.8582658,2.87221,0.0139442,403.8110602325207
0.30908278396014893,7.176032548893189,0.0145146,2.863183,2.87724,0.014057,398.99247676093796
0.3219612332918218,7.56184379969912,0.0147305,2.8691117,2.88313,0.0140183,379.41959342166786
0.33483968262349467,7.768176961100366,0.0147177,2.8770902,2.89126,0.0141698,370.36877692246327
0.34771813195516754,8.353770664087685,0.0150013,2.8878644,2.90206,0.0141956,345.69591578743484
0.3605965812868404,8.572411218568664,0.0150496,2.8920812000000002,2.90628,0.0141988,337.37079641437117
0.3734750306185133,8.780956307758435,0.0151206,2.89816,2.91242,0.01426,330.05061162180294
0.38635347995018615,9.375284289705569,0.0155266,2.9101633,2.92452,0.0143567,310.40800578127255
0.399231929281859,9.712773425746832,0.0156652,2.9138368999999997,2.9282,0.0143631,300.00050163591146
0.4121103786135319,9.934051278744896,0.0158329,2.9187597999999997,2.93321,0.0144502,293.81364340699946
0.42498882794520476,10.21411536643026,0.0161648,2.923574,2.93795,0.014376,286.2288015277981
0.43786727727687763,10.765112250161188,0.0165806,2.9336003,2.94816,0.0145597,272.50995919304745
0.4507457266085505,10.969857360842468,0.0167224,2.93763,2.95228,0.01465,267.7910845482857
0.46362417594022337,11.242548355899421,0.0169287,2.9423727,2.9571,0.0147273,261.71759345433617
0.47650262527189624,11.871558231248656,0.0170962,2.950177,2.96503,0.014853,248.50798374845684
0.4893810746035691,12.105341983666452,0.0173025,2.9550713,2.97005,0.0149787,244.11299606299693
0.502259523935242,12.451877337201806,0.0173218,2.9602819,2.97528,0.0149981,237.73779807127752
0.5151379732669149,12.969893810444875,0.017425,2.9679373,2.98319,0.0152527,228.83281415996407
0.5280164225985877,13.210710358908232,0.0175346,2.9720296999999998,2.98745,0.0154203,224.97122556289366
0.5408948719302606,13.531836900924135,0.0176312,2.9771180999999998,2.99288,0.0157619,220.00842323163695
0.5537733212619335,13.820266612937889,0.0176924,2.9811434,2.99677,0.0156266,215.70809619614667
0.5666517705936064,14.397097678916829,0.0178052,2.9902458,3.00643,0.0161842,207.69781984454607
0.5795302199252792,14.753756855791964,0.0179921,2.9945150000000003,3.01087,0.016355,202.96627016897236
0.5924086692569521,15.065723748119494,0.0183304,2.9971537,3.01386,0.0167063,198.93858072195872
0.6052871185886249,15.600840124650764,0.0186461,3.0058039,3.02271,0.0169061,192.66936113591427
0.6181655679202979,15.835077605845688,0.0188072,3.0083804,3.02567,0.0172896,189.98204333961863
0.6310440172519707,16.087889608854503,0.0190683,3.0099797,3.02725,0.0172703,187.09599414104372
0.6439224665836436,16.299582441435636,0.0194162,3.0141347,3.03155,0.0174153,184.92097640106914
0.6568009159153164,16.957007081452826,0.0197255,3.0231718,3.0406,0.0174282,178.2845159808109
0.6696793652469893,17.218468289275737,0.0201348,3.0262879,3.04399,0.0177021,175.7582526597257
0.6825578145786622,17.532335170857515,0.0202831,3.0288419,3.04666,0.0178181,172.75747186459122
0.6954362639103351,17.955352181388353,0.0203314,3.0339732,3.05202,0.0180468,168.97319358318515
0.7083147132420079,18.304609907586507,0.0205215,3.0384132999999998,3.05685,0.0184367,165.99169910420778
