Vset,Current_mA,Output_Voltage,V_2wire,V_4wire,V_4wire_high,V_4wire_low,VIA,R_2wire,R_4wire
0.0,0.49274094455190204,0.297348,1.37248,1.3600749,1.37115,0.0110751,0.0173757,2785.3987276176763,2760.223023960086
0.03043496786502179,0.49746255963894265,0.297139,1.37448,1.3621895,1.37327,0.0110805,0.0175422,2762.981803088045,2738.275421146617
0.06086993573004358,0.5091886127229746,0.297402,1.37829,1.3660541,1.37714,0.0110859,0.0179557,2706.835867026474,2682.8056752777493
0.09130490359506538,0.5352269729206963,0.297461,1.82937,1.8471198,1.86167,0.0145502,0.0188739,3417.9331247400614,3451.096251596581
0.12173987146008716,2.995715892972276,0.302594,1.87997,1.8568942000000002,1.87261,0.0157158,0.105639,627.5528345028539,619.8499011058205
0.15217483932510895,3.6209541478615948,0.30399,1.89279,1.8648801,1.88239,0.0175099,0.127687,522.7323856386896,515.0245001310859
0.18260980719013076,4.360730560928433,0.305388,1.90433,1.8744192,1.89448,0.0200608,0.153774,436.6997624348874,429.84063651961145
0.21304477505515254,5.050511734364926,0.307965,1.91495,1.8828335999999999,1.90377,0.0209364,0.178098,379.1595982185742,372.80055943415323
0.24347974292017432,5.833449097356545,0.310404,1.92636,1.8884571,1.91144,0.0229829,0.205707,330.22658942424636,323.7290783690499
0.27391471078519614,6.647863894261767,0.312108,1.93672,1.8963816999999998,1.92125,0.0248683,0.234426,291.32967082429553,285.26181193885435
0.3043496786502179,7.471863711583925,0.314069,1.94622,1.9021645,1.92917,0.0270055,0.263483,260.473166417998,254.57698017845257
0.3347846465152397,8.157703116269072,0.315398,1.95443,1.9072427,1.93601,0.0287673,0.287668,239.58091783240314,233.79653228570518
0.3652196143802615,9.288962389856009,0.317384,1.96782,1.9142363,1.94606,0.0318237,0.32756,211.84497443427628,206.07643993590045
0.39565458224528327,10.124191994412207,0.319152,1.97664,1.9189012,1.95268,0.0337788,0.357013,195.23928438841898,189.53623173672418
0.4260895501103051,10.864563926499033,0.320625,1.98423,1.9236892,1.95967,0.0359808,0.383121,182.6331929586605,177.06087543081762
0.45652451797532684,11.86673736299162,0.323004,1.99411,1.9282907,1.96686,0.0385693,0.418461,168.04197640869356,162.49543922777738
0.48695948584034865,12.664307479045776,0.323725,2.00117,1.9324795,1.97258,0.0401005,0.446586,158.01653610441107,152.59259167526207
0.5173944537053704,13.507619127444661,0.32478,2.00896,1.9362681,1.9787,0.0424319,0.476324,148.72791282056605,143.3463648723932
0.5478294215703923,14.317383204384267,0.326673,2.01654,1.9401289,1.98487,0.0447411,0.504879,140.8455701166464,135.5086241881054
0.578264389435414,15.214206490436277,0.327946,2.02429,1.9437951,1.99041,0.0466149,0.536504,133.05261771440254,127.76184556334758
0.6086993573004358,16.145286299161832,0.329634,2.03217,1.9475488,1.99671,0.0491612,0.569337,125.86769675961077,120.62646421458041
0.6391343251654577,16.991490468514936,0.330409,2.03958,1.9516512,2.00222,0.0505688,0.599177,120.03537910810834,114.860506417397
0.6695692930304794,17.917579260692026,0.332083,2.04655,1.9545409999999999,2.00765,0.053109,0.631834,114.22022864940051,109.08510416292195
0.7000042608955012,18.791035514721685,0.333358,2.05449,1.9573545,2.01316,0.0558055,0.662635,109.33351695229494,104.16427016310656
0.730439228760523,19.695458757790675,0.334739,2.06375,1.9599039,2.01818,0.0582761,0.694528,104.78303782508593,99.51044675335355
0.7608741966255448,20.618484880722118,0.336319,2.07125,1.9639617999999999,2.02371,0.0597482,0.727077,100.45597491678829,95.25247909152945
0.7913091644905665,21.488566526971844,0.337017,2.07822,1.966064,2.02854,0.062476,0.757759,96.7128262088342,91.4934924827234
0.8217441323555883,22.386098764238128,0.338965,2.08506,1.9682772999999998,2.03367,0.0653927,0.789409,93.14083806915436,87.9240872082781
0.8521791002206102,23.227538781431335,0.340356,2.09159,1.9720108,2.03873,0.0667192,0.819081,90.04785309720668,84.89968819152178
0.8826140680856319,24.21573169997851,0.341968,2.0984,1.9740481,2.04334,0.0692919,0.853928,86.65441234641123,81.51924230320705
0.9130490359506537,25.152483118418225,0.343027,2.1057,1.9763188,2.04834,0.0720212,0.886961,83.71738051016023,78.57350666713361
0.9434840038156755,26.03966466795616,0.343559,2.11243,1.9790498000000003,2.05338,0.0743302,0.918246,81.12354851479749,76.00135505720915
0.9739189716806973,27.021817322157748,0.344549,2.11919,1.9819961999999998,2.05848,0.0764838,0.95288,78.42514715922809,73.34799789260559
1.004353939545719,27.946686718246294,0.346184,2.12629,1.9865582000000002,2.06531,0.0787518,0.985494,76.08379560113481,71.08385405497759
1.0347889074107408,28.900538039974215,0.347695,2.1333,1.9882136,2.0698,0.0815864,1.01913,73.81523475615901,68.79503756123752
1.0652238752757626,30.14148624543305,0.349204,2.14218,1.9911602,2.07599,0.0848298,1.06289,71.07081523972883,66.0604518233302
1.0956588431407845,31.047809477756292,0.34991,2.14849,1.9937767,2.0806,0.0868233,1.09485,69.19940685474933,64.21634033242859
1.1260938110058063,31.96916247582205,0.351948,2.15563,1.9951398999999999,2.08525,0.0901101,1.12734,67.42841641942546,62.408263009983564
1.156528778870828,32.9143362346873,0.352926,2.16203,1.9979923999999998,2.08973,0.0917376,1.16067,65.68657452437124,60.70280092400537
1.1869637467358498,33.816122179239194,0.354407,2.16895,1.9996572999999997,2.0942,0.0945427,1.19247,64.13952458841032,59.133252754440704
