Vset,Current_mA,Output_Voltage,V_2wire,V_4wire,V_4wire_high,V_4wire_low,VIA,R_2wire,R_4wire
0.0,0.5265494100580271,0.290325,2.07724,2.0645408,2.07553,0.0109892,0.0185679,3945.0048947373866,3920.8871201137276
0.03043496786502179,0.5352269729206963,0.289345,2.07705,2.0645759999999997,2.07549,0.010914,0.0188739,3880.6900718506067,3857.384071534647
0.06086993573004358,0.5545699978508489,0.288753,2.07839,2.0655166,2.07664,0.0111234,0.019556,3747.7505239275156,3724.537223442655
0.09130490359506538,0.5656891886954654,0.288657,2.08357,2.1586279999999998,2.16973,0.011102,0.0199481,3683.2416840154156,3815.9258531668374
0.12173987146008716,1.3901654212336128,0.347522,2.75657,2.7338084,2.75127,0.0174616,0.0490219,1982.9079028263122,1966.5345995831617
0.15217483932510895,4.1526392005157975,0.359581,2.80055,2.7703516,2.79016,0.0198084,0.146436,674.4024377682861,667.1303395816078
0.18260980719013076,5.051419191919193,0.364043,2.83426,2.8003903,2.82152,0.0211297,0.17813,561.0819241717248,554.3769371743714
0.21304477505515254,5.898133806146573,0.366668,2.86214,2.8244656000000004,2.84805,0.0235844,0.207988,485.26196489766,478.8744529763912
0.24347974292017432,6.773036320653342,0.371215,2.89351,2.8495315,2.87549,0.0259585,0.23884,427.21017030082686,420.71699679371096
0.27391471078519614,7.650065688802923,0.376781,2.92181,2.8759912,2.90348,0.0274888,0.269767,381.9326681438212,375.9433339519511
0.3043496786502179,8.498028057167419,0.382454,2.94703,2.8970707,2.92717,0.0300993,0.299669,346.7898646809493,340.9109361031761
0.3347846465152397,9.373696238985602,0.388083,2.9714,2.9167504,2.94931,0.0325596,0.330548,316.993416923606,311.1633154773153
0.3652196143802615,10.497298839458415,0.394782,3.00399,2.9449659,2.9794,0.0344341,0.37017,286.1679033760826,280.5451140373498
0.39565458224528327,11.366614818396734,0.400503,3.02652,2.9629444,3.0003,0.0373556,0.400825,266.2639711430718,260.67078433981146
0.4260895501103051,12.241318826563507,0.40039,3.04738,2.9798248,3.01956,0.0397352,0.43167,248.94213141375124,243.42351034382156
0.45652451797532684,13.087948366645175,0.399234,3.06845,2.9979691,3.03887,0.0409009,0.461525,234.44851049534918,229.06333491048662
0.48695948584034865,13.936080883301097,0.405332,3.09002,3.0145167,3.05798,0.0434633,0.491433,221.72804720892623,216.3102184353812
0.5173944537053704,14.811040113905007,0.408586,3.11082,3.0298091,3.07593,0.0461209,0.522287,210.03386501394172,204.5642356444321
0.5478294215703923,15.685744122071782,0.413734,3.13075,3.0472722,3.09465,0.0473778,0.553132,199.5920611502675,194.27017145537337
0.578264389435414,16.512749892542445,0.415848,3.14943,3.0623495000000003,3.11208,0.0497305,0.582295,190.72716661337904,185.45363551972835
0.6086993573004358,17.39615982162046,0.422825,3.16917,3.0770857,3.1294,0.0523143,0.613447,182.17641321398196,176.88304381842406
0.6391343251654577,18.257705695250376,0.4223,3.18728,3.0916636,3.14546,0.0537964,0.643828,174.5717700351118,169.33472647684732
0.6695692930304794,19.118145604986033,0.424344,3.20617,3.1053447,3.16158,0.0562353,0.67417,167.70298052149093,162.42917928139028
0.7000042608955012,19.947561809585213,0.430256,3.22295,3.1182292,3.17722,0.0589908,0.703418,161.57112487057472,156.32132035814155
0.730439228760523,20.84274032882012,0.432782,3.24064,3.1333996,3.19347,0.0600704,0.734985,155.48051498386866,150.33529903298364
0.7608741966255448,21.699436976144426,0.436325,3.25777,3.1456492,3.20877,0.0631208,0.765195,150.13154505259627,144.96455384801976
0.7913091644905665,22.530129292929296,0.433008,3.27408,3.1581793,3.22376,0.0655807,0.794488,145.3200715109751,140.17581785432282
0.8217441323555883,23.46557624113475,0.437533,3.29024,3.1713549,3.23874,0.0673851,0.827475,140.21560630726236,135.14924446818694
0.8521791002206102,24.25432700408339,0.439743,3.29914,3.1823445,3.25169,0.0693455,0.855289,136.0227393423271,131.2072892999352
0.8826140680856319,25.08260888673974,0.43977,3.29914,3.1933545,3.26529,0.0719355,0.884497,131.53097490365664,127.31349096976152
0.9130490359506537,25.952236804212337,0.440629,3.29914,3.2063682,3.27985,0.0734818,0.915163,127.12353177451405,123.54881870835777
0.9434840038156755,26.790841016548463,0.442023,3.29914,3.2171886,3.29313,0.0759414,0.944735,123.14432376207043,120.08539030233398
0.9739189716806973,26.994763743821192,0.441855,3.29914,3.2195727,3.29676,0.0771873,0.951926,122.21407200702532,119.26656334367532
1.004353939545719,27.846327584354185,0.443815,3.29914,3.2215042,3.29888,0.0773758,0.981955,118.47666411328379,115.68865554142384
1.0347889074107408,28.708554051149797,0.442776,3.29914,3.2208683,3.29912,0.0782517,1.01236,114.91836175803034,112.19193743653564
1.0652238752757626,29.859890823124864,0.439947,3.29914,3.2205871999999998,3.29914,0.0785528,1.05296,110.4873430228685,107.85663012223172
1.0956588431407845,30.72878143133462,0.439909,3.29914,3.2201465,3.29914,0.0789935,1.0836,107.3631900234031,104.79252186409077
1.1260938110058063,31.60674661508704,0.442653,3.29914,3.2198834,3.29914,0.0792566,1.11456,104.38087918941969,101.87329430682477
1.156528778870828,32.46032387706856,0.443223,3.29914,3.219207,3.29914,0.079933,1.14466,101.6360777081051,99.17359457630653
1.1869637467358498,33.301990758650334,0.434375,3.29914,3.2183159,3.29914,0.0808241,1.17434,99.06735077520956,96.64034571759133
