Vset,Current_mA,Output_Voltage,V_2wire,V_4wire,V_4wire_high,V_4wire_low,VIA,R_2wire,R_4wire,Illumination_mA,Iph_A,P_opt_W,P_opt_uW
0.0,0.492740944551902,0.297348,1.37248,1.3600749,1.37115,0.0110751,0.0173757,2785.3987276176763,2760.223023960086,1.13223,1.1136629213483144e-05,2.7162510276788158e-05,27.162510276788158
0.0304349678650217,0.4974625596389426,0.297139,1.37448,1.3621895,1.37327,0.0110805,0.0175422,2762.981803088045,2738.275421146617,1.144653553882502,1.112880149812734e-05,2.7143418288115466e-05,27.143418288115466
0.0608699357300435,0.5091886127229746,0.297402,1.37829,1.3660541,1.37714,0.0110859,0.0179557,2706.835867026474,2682.8056752777493,1.24512141319121,1.1138651685393258e-05,2.716744313510551e-05,27.16744313510551
0.0913049035950653,0.5352269729206963,0.297461,1.82937,1.8471198,1.86167,0.0145502,0.0188739,3417.9331247400614,3451.096251596581,1.5040621197868156,1.1140861423220971e-05,2.7172832739563348e-05,27.172832739563347
0.1217398714600871,2.995715892972276,0.302594,1.87997,1.8568942,1.87261,0.0157158,0.105639,627.5528345028539,619.8499011058205,3.1936211556592053,1.1333108614232208e-05,2.7641728327395632e-05,27.641728327395633
0.1521748393251089,3.620954147861595,0.30399,1.89279,1.8648801,1.88239,0.0175099,0.127687,522.7323856386896,515.0245001310859,5.357064357400436,1.1385393258426966e-05,2.776925184982187e-05,27.76925184982187
0.1826098071901307,4.360730560928433,0.305388,1.90433,1.8744192,1.89448,0.0200608,0.153774,436.6997624348874,429.84063651961145,6.243093228880523,1.1437752808988763e-05,2.7896958070704302e-05,27.8969580707043
0.2130447750551525,5.050511734364926,0.307965,1.91495,1.8828336,1.90377,0.0209364,0.178098,379.1595982185742,372.8005594341532,7.129101228720522,1.1534269662921348e-05,2.8132365031515487e-05,28.132365031515487
0.2434797429201743,5.833449097356545,0.310404,1.92636,1.8884571,1.91144,0.0229829,0.205707,330.22658942424636,323.7290783690499,8.015081404252024,1.162561797752809e-05,2.8355165798849004e-05,28.355165798849004
0.2739147107851961,6.647863894261767,0.312108,1.93672,1.8963817,1.92125,0.0248683,0.234426,291.32967082429553,285.26181193885435,8.931916339638589,1.1689438202247193e-05,2.851082488352974e-05,28.51082488352974
0.3043496786502179,7.471863711583925,0.314069,1.94622,1.9021645,1.92917,0.0270055,0.263483,260.473166417998,254.57698017845257,9.850911482617722,1.1762883895131084e-05,2.8689960719831914e-05,28.689960719831916
0.3347846465152397,8.157703116269072,0.315398,1.95443,1.9072427,1.93601,0.0287673,0.287668,239.58091783240312,233.7965322857052,10.732411630879492,1.1812659176029964e-05,2.8811363843975523e-05,28.811363843975524
0.3652196143802615,9.288962389856009,0.317384,1.96782,1.9142363,1.94606,0.0318237,0.32756,211.84497443427628,206.07643993590045,11.63872888234972,1.1887041198501872e-05,2.8992783410980177e-05,28.992783410980177
0.3956545822452832,10.124191994412207,0.319152,1.97664,1.9189012,1.95268,0.0337788,0.357013,195.23928438841895,189.53623173672415,12.569856289212192,1.1953258426966293e-05,2.9154288846259254e-05,29.154288846259256
0.4260895501103051,10.864563926499033,0.320625,1.98423,1.9236892,1.95967,0.0359808,0.383121,182.6331929586605,177.06087543081762,13.465084475122897,1.2008426966292136e-05,2.9288846259249117e-05,29.288846259249116
0.4565245179753268,11.86673736299162,0.323004,1.99411,1.9282907,1.96686,0.0385693,0.418461,168.04197640869356,162.49543922777738,14.349700958440618,1.2097528089887642e-05,2.9506166072896688e-05,29.506166072896686
0.4869594858403486,12.664307479045776,0.323725,2.00117,1.9324795,1.97258,0.0401005,0.446586,158.01653610441107,152.59259167526207,15.217341022336658,1.2124531835205993e-05,2.957202886635608e-05,29.57202886635608
0.5173944537053704,13.50761912744466,0.32478,2.00896,1.9362681,1.9787,0.0424319,0.476324,148.72791282056605,143.3463648723932,16.08877307714047,1.2164044943820224e-05,2.966840230200055e-05,29.668402302000548
0.5478294215703923,14.317383204384267,0.326673,2.01654,1.9401289,1.98487,0.0447411,0.504879,140.8455701166464,135.5086241881054,16.963047964031087,1.2234943820224718e-05,2.9841326390792e-05,29.841326390792
0.578264389435414,15.214206490436275,0.327946,2.02429,1.9437951,1.99041,0.0466149,0.536504,133.05261771440254,127.76184556334758,17.857334038641977,1.2282621722846442e-05,2.9957613958162055e-05,29.957613958162057
0.6086993573004358,16.145286299161832,0.329634,2.03217,1.9475488,1.99671,0.0491612,0.569337,125.86769675961077,120.6264642145804,18.75428779923008,1.2345842696629213e-05,3.0111811455193204e-05,30.111811455193205
0.6391343251654577,16.991490468514936,0.330409,2.03958,1.9516512,2.00222,0.0505688,0.599177,120.03537910810834,114.860506417397,19.654067189191583,1.237486891385768e-05,3.0182607106969955e-05,30.182607106969954
0.6695692930304794,17.917579260692026,0.332083,2.04655,1.954541,2.00765,0.053109,0.631834,114.22022864940053,109.08510416292197,20.5647662446641,1.243756554307116e-05,3.033552571480771e-05,30.33552571480771
0.7000042608955012,18.791035514721685,0.333358,2.05449,1.9573545,2.01316,0.0558055,0.662635,109.33351695229494,104.16427016310656,21.481530536794573,1.2485318352059924e-05,3.0451995980633962e-05,30.451995980633964
0.730439228760523,19.695458757790675,0.334739,2.06375,1.9599039,2.01818,0.0582761,0.694528,104.78303782508593,99.51044675335356,22.413936212307384,1.2537041198501872e-05,3.057814926463871e-05,30.57814926463871
